player_id,player_name,recent_team,position,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,result
00-0030578,C.Patterson,ATL,RB,1,NO,0,0,0.0,0,0.0,22,120.0,1,3,16.0,0,19.6,,2.395266,-0.33159593,0.15625,0.06382979,0.27905586,0.0
00-0030578,C.Patterson,ATL,RB,2,LA,0,0,0.0,0,0.0,10,41.0,0,0,0.0,0,4.1,,-2.450007,-6.9279375,0.04,0.01980198,0.07386138,1.0
00-0030578,C.Patterson,ATL,RB,3,SEA,0,0,0.0,0,0.0,17,141.0,1,1,12.0,0,21.3,,5.762052,1.10533,0.05263158,-0.0064935065,0.074401915,1.0
00-0030578,C.Patterson,ATL,RB,4,CLE,0,0,0.0,0,0.0,9,38.0,1,0,0.0,0,9.8,,-0.78492147,,,,,0.0
00-0030578,C.Patterson,ATL,RB,9,LAC,0,0,0.0,0,0.0,13,44.0,2,1,9.0,0,17.3,,3.077438,0.834716,0.04347826,0.005830904,0.06929903,1.0
00-0030578,C.Patterson,ATL,RB,10,CAR,0,0,0.0,0,0.0,5,18.0,0,1,2.0,0,2.0,,-0.92706543,-1.0892999,0.03448276,0.0057142857,0.055724137,0.0
00-0030578,C.Patterson,ATL,RB,11,CHI,0,0,0.0,0,0.0,10,52.0,0,2,7.0,0,9.9,,-4.6248183,-1.293111,0.11111111,-0.067307696,0.11955128,0.0
00-0030578,C.Patterson,ATL,RB,12,WAS,0,0,0.0,0,0.0,11,52.0,0,3,19.0,0,7.1,,-0.5086284,-5.6163855,0.20833333,0.114285715,0.3925,1.0
00-0030578,C.Patterson,ATL,RB,13,PIT,0,0,0.0,0,0.0,11,60.0,0,0,0.0,0,6.0,,0.5898122,,,,,0.0
00-0030578,C.Patterson,ATL,RB,15,NO,0,0,0.0,0,0.0,14,52.0,1,1,0.0,0,11.2,,0.45361134,-3.1497672,0.115384616,0.15611814,0.28235963,0.0
00-0030578,C.Patterson,ATL,RB,16,BAL,0,0,0.0,0,0.0,8,17.0,0,1,14.0,0,3.1,,-4.7881284,0.61267126,0.032258064,-0.035,0.023887096,0.0
00-0030578,C.Patterson,ATL,RB,17,ARI,0,0,0.0,0,0.0,9,42.0,1,6,42.0,0,14.4,,-0.124449305,0.19048482,0.32,0.082706764,0.5378947,1.0
00-0030578,C.Patterson,ATL,RB,18,TB,0,0,0.0,0,0.0,5,18.0,1,2,1.0,0,7.9,,1.6776681,-2.4723794,0.10714286,0.002994012,0.16281009,0.0
00-0030874,D.Williams,ATL,RB,1,NO,0,0,0.0,0,0.0,2,2.0,0,0,0.0,0,0.2,,-1.1297847,,,,,0.0
